article,name,birth,death,flourish,nationality,musical_scool,surviving_work,era
Bernart_de_Ventadorn,Bernart de Ventadorn,c.1130-1140,c.1190-1200,,Occitan,Troubadour,19 (1 fragmentary) works; 45 poems total,Medieval
Giraut_de_Bornelh,Giraut de Bornelh,c.1140,c.1200,,Occitan,Troubadour,Four works; 77 poems total,Medieval
Heinrich_von_Veldeke,Heinrich von Veldeke,1140-1150,c.1190,,German,Minnesang,No surviving works; 61 poems total,Medieval
Vidame_de_Chartres,"""Vidame de Chartres"" (probably Guillaume de Ferrières)",c.1145-1155,1204,,French,Trouvère,Six (nine?) works,Medieval
Albertus_Parisiensis,Albertus Parisiensis,,,1146–1177,French,–,Congaudeant catholici,Medieval
Peire_d'Alvernhe,Peire d'Alvernha,,,1149–70,Occitan,Troubadour,Two works; 24 poems total,Medieval
Dietmar_von_Aist,Dietmar von Aist,,,2nd half of the 12th century,German,Minnesinger,No surviving music,Medieval
Friedrich_von_Hausen,Friedrich von Hûsen (Friedrich von Hausen),c.1150,1190,,German,Minnesänger,No music survives; 53 strophes,Medieval
Léonin,Léonin,,,1150s – c.1201,French,Notre-Dame school (Ars antiqua),,Medieval
Bertran_de_Born,Bertran de Born,1150,before 1215,,Occitan,Troubadour,1 work; 40 poems total,Medieval
Gaucelm_Faidit,Gaucelm Faidit,c.1150,c.1220,,Occitan,Troubadour,14 works; 68 poems total,Medieval
Arnaut_Daniel,Arnaut Daniel,c.1150-60,c.1200,,Occitan,Troubadour,Two works; 18 poems total,Medieval
Raimbaut_de_Vaqueiras,Raimbaut de Vaqueiras,c.1150-60,1207,,Occitan,Troubadour,Seven works; 35 poems total,Medieval
Folquet_de_Marselha,Folquet de Marselha (Folquet de Marseille),c.1150-60,1231,,Occitan,Troubadour,13 works; 29 poems total,Medieval
Chrétien_de_Troyes,Chrétien de Troyes,,,c.1160 – 1191,French,Trouvère,,Medieval
Conon_de_Béthune,Conon de Béthune,c.1160,1219 /20,,French,Trouvère,Seven works; eight poems total,Medieval
Der_von_Kürenberg,Der von Kürenberg,,,1160,German,Minnesinger,,Medieval
Gace_Brulé,Gace Brule,c.1160,after 1213,,French,Trouvère,,Medieval
Peirol,Peirol,c.1160,after 1221,,Occitan,Troubadour,17 works; 34 poems total,Medieval
Philip_the_Chancellor,Philippe le Chancelier,c.1160,1236,,French,Notre-Dame school (Ars antiqua),,Medieval
Raimbaut_d'Aurenga,Raimbaut d'Aurenga,,,1162–73,Occitan,Troubadour,,Medieval
Le_Chastelain_de_Couci,Chastelain de Couci,c. 1165,1203,,French,Trouvère,–,Medieval
Gautier_de_Dargies,Gautier de Dargies,c.1165,after 1236,,French,Trouvère,,Medieval
Arnaut_de_Mareuil,Arnaut de Mareuil,,,c.1170–1200,Occitan,Troubadour,,Medieval
Wolfram_von_Eschenbach,Wolfram von Eschenbach,,,c.1170–1220,German,Minnesänger,No surviving music from seven poems,Medieval
Walther_von_der_Vogelweide,Walther von der Vogelweide,c.1170,c.1230,,German,Minnesänger,,Medieval
Aimeric_de_Peguilhan,Aimeric de Peguilhan,c.1175,c.1230,,Occitan,Troubadour,Six works; 50 poems total,Medieval
Gautier_de_Coincy,Gautier de Coincy,1177/8,1236,,French,Trouvère,Eight surviving poems with music,Medieval
Blondel_de_Nesle,Blondel de Nesle,,,1180–1200,French,Trouvère,,Medieval
Peire_Cardenal,Peire Cardenal,1180,1278,,Occitan,Troubadour,Three works; 90 poems total,Medieval
Peire_Vidal,Peire Vidal,,,c.1183 – c.1205,Occitan,Troubadour,12 works; 50 poems total,Medieval
Raimon_de_Miraval,Raimon de Miraval,,,1185–1229,Occitan,Troubadour,22 works; 48 poems total,Medieval
Reinmar_von_Hagenau,Reinmar von Hagenau (Reinmar der Alte),,,1185–1205 – c.1205,German,Minnesänger,,Medieval
Audefroi_le_Bastart,Audefroi le Bastart,,,1190–1230,French,Trouvère,,Medieval
Bernger_von_Horheim,Bernger von Horheim,,,1196,German,Minnesänger,No music; six poems survive,Medieval
