article,name,birth,death,flourish,era
Melchior Franck,Melchior Franck,c. 1579,1639,,Baroque
Adriana Basile,Adriana Basile,c. 1580,c. 1640,,Baroque
Domenico Brunetti,Domenico Brunetti,c. 1580,1646,,Baroque
Andrea Cima,Andrea Cima,c. 1580,after 1627,,Baroque
Jacques Cordier,Jacques Cordier,c. 1580,before 1655,,Baroque
Richard Dering,Richard Dering,c. 1580,1630,,Baroque
Michael East (composer),Michael East,1580,1648,,Baroque
Thomas Ford (composer),Thomas Ford,c. 1580,1648,,Baroque
John Lugg,John Lugg,1580,1647/1655,,Baroque
Johannes Hieronymus Kapsberger,Johannes Hieronymus Kapsberger,c. 1580,1651,,Baroque
Johann Stobäus,Johann Stobäus,1580,1646,,Baroque
Vincenzo Ugolini,Vincenzo Ugolini,c. 1580,1638,,Baroque
François Richard,François Richard,1580,1650,,Baroque
Bellerofonte Castaldi,Bellerofonte Castaldi,c. 1581,1649,,Baroque
Johannes Jeep,Johannes Jeep,1581/1582,1644,,Baroque
Johann Staden,Johann Staden,1581,1634,,Baroque
Gregorio Allegri,Gregorio Allegri,1582,1652,,Baroque
Severo Bonini,Severo Bonini,1582,1663,,Baroque
Marco da Gagliano,Marco da Gagliano,1582,1643,,Baroque
Sigismondo d'India,Sigismondo d'India,c. 1582,1629,,Baroque
Thomas Ravenscroft,Thomas Ravenscroft,c. 1582,c. 1635,,Baroque
Thomas Simpson (composer),Thomas Simpson,1582,1628,,Baroque
Giovanni Valentini,Giovanni Valentini,c. 1582,1649,,Baroque
Paolo Agostino,Paolo Agostino,c. 1583,1629,,Baroque
Girolamo Frescobaldi,Girolamo Frescobaldi,1583,1643,,Baroque
Orlando Gibbons,Orlando Gibbons,1583,1625,,Baroque
Robert Johnson (English composer),Robert Johnson,c. 1583,1634,,Baroque
Johann Daniel Mylius,Johann Daniel Mylius,1583,1642,,Baroque
Mogens Pedersøn,Mogens Pedersøn,c. 1583,1623,,Baroque
Nicolas Vallet,Nicolas Vallet,c. 1583,c. 1642,,Baroque
Michael Altenburg,Michael Altenburg,1584,1640,,Baroque
Antonio Cifra,Antonio Cifra,1584,1629,,Baroque
Francisco Correa de Arauxo,Francisco Correa de Arauxo,1584,1654,,Baroque
Daniel Friderici,Daniel Friderici,1584,1638,,Baroque
Walter Rowe,Walter Rowe,c. 1584,1671,,Baroque
Domenico Allegri,Domenico Allegri,1585,1629,,Baroque
Jean de Bournonville,Jean de Bournonville,1585,1632,,Baroque
Louis Constantin,Louis Constantin,c. 1585,1657,,Baroque
Nicolò Corradini (composer),Nicolò Corradini,c. 1585,1646,,Baroque
Andrea Falconieri,Andrea Falconieri,1585,1656,,Baroque
Johann Grabbe,Johann Grabbe,1585,1655,,Baroque
Alessandro Grandi,Alessandro Grandi,1586,1630,,Baroque
Peter Hasse,Peter Hasse,c. 1585,1640,,Baroque
Stefano Landi,Stefano Landi,1586,1639,,Baroque
Nicolas Signac,Nicolas Signac,1585,1645,,Baroque
Heinrich Schütz,Heinrich Schütz,1585,1672,,Baroque
Francesco Rognoni,Francesco Rognoni,1585,after 1626,,Baroque
Antoine Boësset,Antoine Boësset,1586,1643,,Baroque
Jacob Praetorius,Jacob Praetorius,1586,1651,,Baroque
Claudio Saracini,Claudio Saracini,1586,1630,,Baroque
Johann Hermann Schein,Johann Hermann Schein,1586,1630,,Baroque
Paul Siefert,Paul Siefert,1586,1666,,Baroque
John Adson,John Adson,c. 1587,1640,,Baroque
Francesca Caccini,Francesca Caccini,1587,c. 1640,,Baroque
Ivan Lukačić,Ivan Lukačić,c. 1587,1648,,Baroque
Samuel Scheidt,Samuel Scheidt,1587,1654,,Baroque
Guillaume Bouzignac,Guillaume Bouzignac,1587,1643,,Baroque
Charles d'Ambleville,Charles d'Ambleville,1588,1637,,Baroque
Walter Porter,Walter Porter,1588,1659,,Baroque
Francesco Colombini,Francesco Colombini,1588,1671,,Baroque
Johann Andreas Herbst,Johann Andreas Herbst,1588,1666,,Baroque
Nicholas Lanier,Nicholas Lanier,1588,1666,,Baroque
Marin Mersenne,Marin Mersenne,1588,1648,,Baroque
John Tomkins (composer),John Tomkins,1589,1638,,Baroque
Guilielmus Messaus,Guilielmus Messaus,1589,1640,,Baroque
Francesco Turini,Francesco Turini,1589,1656,,Baroque
Caterina Assandra,Caterina Assandra,c. 1590,after 1618,,Baroque
Artus Aux-Cousteaux,Artus Aux-Cousteaux,c. 1590,1656,,Baroque
Giovanni Pietro Berti,Giovanni Pietro Berti,c. 1590?,1638,,Baroque
Dario Castello,Dario Castello,c. 1590,c. 1658,,Baroque
Giovanni Martino Cesare,Giovanni Martino Cesare,c. 1590,1667,,Baroque
Andreas Chyliński,Andreas Chyliński,c. 1590,after 1635,,Baroque
Jacob van Eyck,Jacob van Eyck,c. 1590,1657,,Baroque
Juan Gutiérrez de Padilla,Juan Gutiérrez de Padilla,c. 1590,1664,,Baroque
Adam Jarzębski,Adam Jarzębski,c. 1590,c. 1648,,Baroque
Manuel Machado (composer),Manuel Machado,c. 1590,1646,,Baroque
Carlo Milanuzzi,Carlo Milanuzzi,c. 1590,c. 1647,,Baroque
Johann Schop,Johann Schop,c. 1590,1667,,Baroque
Johannes Thesselius,Johannes Thesselius,c. 1590?,1643,,Baroque
Lucrezia Orsina Vizzana,Lucrezia Orsina Vizzana,1590,1662,,Baroque
Robert Ramsey (composer),Robert Ramsey,1590s,1644,,Baroque
Richard Mico,Richard Mico,1590,1661,,Baroque
Nicolò Borbone,Nicolò Borbone,c. 1591,1641,,Baroque
Settimia Caccini,Settimia Caccini,1591,1638?,,Baroque
Robert Dowland,Robert Dowland,c. 1591,1641,,Baroque
Isaac Posch,Isaac Posch,1591?,c. 1623,,Baroque
Cornelis Thymenszoon Padbrué,Cornelis Padbrué,c. 1592,1670,,Baroque
Jacques Gaultier,Jacques Gaultier,1592,1652,,Baroque
Paul Auget,Paul Auget,1592,1660,,Baroque
John Jenkins (composer),John Jenkins,1592,1678,,Baroque
Domenico Mazzocchi,Domenico Mazzocchi,1592,1665,,Baroque
Melchior Schildt,Melchior Schildt,1592/1593,1667,,Baroque
Claudia Rusca,Claudia Rusca,1593,1676,,Baroque
Gottfried Scheidt,Gottfried Scheidt,1593,1661,,Baroque
Johann Ulrich Steigleder,Johann Ulrich Steigleder,1593,1635,,Baroque
Nicolas Le Vasseur,Nicolas Le Vasseur,1593,1658,,Baroque
Matthäus Apelles von Löwenstern,Matthäus Apelles von Löwenstern,1594,1648,,Baroque
Francesco Manelli,Francesco Manelli,1594,1667,,Baroque
Biagio Marini,Biagio Marini,1594,1663,,Baroque
Orazio Michi,Orazio Michi,c. 1594,1641,,Baroque
Tarquinio Merula,Tarquinio Merula,1594/1595,1665,,Baroque
Antonio Maria Abbatini,Antonio Maria Abbatini,c. 1595,1680,,Baroque
Giovanni Battista Buonamente,Giovanni Battista Buonamente,c. 1595,1642,,Baroque
Henry Lawes,Henry Lawes,1595,1662,,Baroque
John Okeover,John Okeover,c. 1595,1663,,Baroque
Bartolomé de Selma y Salaverde,Bartolomé de Selma y Salaverde,c. 1595,after 1638,,Baroque
Heinrich Scheidemann,Heinrich Scheidemann,c. 1595,1663,,Baroque
John Wilson (composer),John Wilson,1595,1674,,Baroque
Constantijn Huygens,Constantijn Huygens,1596,1687,,Baroque
Giovanni Rovetta,Giovanni Rovetta,c. 1596,1668,,Baroque
Andreas Düben,Andreas Düben,1597,1662,,Baroque
Virgilio Mazzocchi,Virgilio Mazzocchi,1597,1646,,Baroque
Charles Racquet,Charles Racquet,1597,1664,,Baroque
Luigi Rossi,Luigi Rossi,c. 1597,1653,,Baroque
Johann Crüger,Johann Crüger,1598,1662,,Baroque
Giovanni Battista Fasolo,Giovanni Battista Fasolo,c. 1598,c. 1664,,Baroque
Pierre Gaultier,Pierre Gaultier,1599,1681,,Baroque
John Hilton the younger,John Hilton the younger,c. 1599,1657,,Baroque
Étienne Moulinié,Étienne Moulinié,1599,1676,,Baroque
Thomas Selle,Thomas Selle,1599,1663,,Baroque
John Marchant (composer),John Marchant,,1611,,Baroque
Richard Martin (composer),Richard Martin,,,c. 1610,Baroque
Girolamo Dalla Casa,Girolamo Dalla Casa,,1601,from 1568,Baroque
William Tisdale,William Tisdale,1570,,,Baroque
Henry Lichfild,Henry Lichfild,,1613,,Baroque
John Bartlet,John Bartlet,,,1606–1610,Baroque
Thomas Greaves (musician),Thomas Greaves,,,1604,Baroque
Richard Sumarte,Richard Sumarte,,after 1630,,Baroque
Richard Nicholson (composer),Richard Nicholson,,1639,,Baroque
Jean Boyer (composer),Jean Boyer,15??,1648,,Baroque
Thomas Vautor,Thomas Vautor,1580/1590,?,,Baroque
Henry Youll,Henry Youll,1580/1590,?,,Baroque
George Handford (composer),George Handford,,,c. 1609,Baroque
Robert Tailour,Robert Tailour,,,1615,Baroque
Charles Coleman (composer),Charles Coleman,,1646,,Baroque
William Corkine,William Corkine,,,1610–1617,Baroque
Juan Arañés,Juan Arañés,,c. 1649,1624–49,Baroque
Giovanni Battista Grillo,Giovanni Battista Grillo,,1622,,Baroque
Marcantonio Negri,Marcantonio Negri,,1624,,Baroque
Giovanni Battista Riccio,Giovanni Battista Riccio,,,1609–1621,Baroque
Giuseppe Scarani,Giuseppe Scarani,,,1628–1641,Baroque
Adam of Wągrowiec,Adam z Wągrowca,,1629,,Baroque
Mikołaj Zieleński,Mikołaj Zieleński,,,1611,Baroque
Mlle Bocquet,Mlle Bocquet,early 17th century,after 1660,,Baroque
Alessandro Poglietti,Alessandro Poglietti,early 17th century,1683,,Baroque
François de La Roche,François de La Roche,?,1677,,Baroque
François de Chancy,François de Chancy,?,1656,,Baroque
Henri Frémart,Henry Frémart,16..,1651,,Baroque
Jean Veillot,Jean Veillot,16..,1662,,Baroque
Pierre Méliton,Pierre Méliton,16? , 1684,,Baroque
Antonio de Jesús,Antonio de Jesús,????,1682,,Baroque
Le Sieur de Machy,Demachy,16 ? , 1692,,Baroque
Manuel Correia,Manuel Correia,c. 1600,1653,,Baroque
Giuseppe Giamberti,Giuseppe Giamberti,c.1600 , c. 1663,,Baroque
Bonaventura Rubino,Bonaventura Rubino,c. 1600,1668,,Baroque
Girolamo Fantini,Girolamo Fantini,c. 1600,1675,,Baroque
Simon Ives,Simon Ives,1600,1662,,Baroque
Nicolaus à Kempis,Nicolaus à Kempis,c. 1600,1676,,Baroque
Adam Václav Michna z Otradovic,Adam Václav Michna z Otradovic,c. 1600,1676,,Baroque
Marcin Mielczewski,Marcin Mielczewski,c. 1600,1651,,Baroque
Carlos Patiño,Carlos Patiño,1600,1675,,Baroque
Martino Pesenti,Martino Pesenti,c. 1600,c. 1648,,Baroque
Giovanni Felice Sances,Giovanni Felice Sances,c. 1600,1679,,Baroque
Marco Scacchi,Marco Scacchi,c. 1600,1662,,Baroque
Delphin Strungk,Delphin Strungk,1600/1601,1694,,Baroque
Louis XIII of France,Louis XIII,1601,1643,,Baroque
Michelangelo Rossi,Michelangelo Rossi,c. 1601,1656,,Baroque
Jean-Baptiste Geoffroy,Jean-Baptiste Geoffroy,1601,1675,,Baroque
Jacques Champion de Chambonnières,Jacques Champion de Chambonnières,1601/1602,1672,,Baroque
Francesco Cavalli,Francesco Cavalli,1602,1676,,Baroque
Chiara Margarita Cozzolani,Chiara Margarita Cozzolani,1602,c. 1678,,Baroque
William Lawes,William Lawes,1602,1645,,Baroque
Marco Marazzoli,Marco Marazzoli,c. 1602,1662,,Baroque
Christopher Simpson,Christopher Simpson,c. 1602/1606,1669,,Baroque
Orazio Tarditi,Orazio Tarditi,1602,1677,,Baroque
Benedetto Ferrari,Benedetto Ferrari,c. 1603?,1681,,Baroque
Francesco Foggia,Francesco Foggia,1603,1688,,Baroque
Denis Gaultier,Denis Gaultier,1603,1672,,Baroque
John IV of Portugal,John IV of Portugal,1603,1656,,Baroque
