name,birth_date,birth_place,death_date,death_place,url,in_the_db,wikidata_id
Jan Carlstedt,,,,,https://www.swedishmusicalheritage.com/composers/carlstedt-jan/,false,
Anna Cederberg-Orreteg,,,,,https://www.swedishmusicalheritage.com/composers/cederberg-orreteg-anna/,false,
André Chini,,,,,https://www.swedishmusicalheritage.com/composers/chini-andre/,false,
Carl Christiansen,22 October 1890,Amsterdam,12 July 1947,"Stockholm, was a cellist and composer",https://www.swedishmusicalheritage.com/composers/christiansen-carl/,false,
Gustaf Adolf Cloos,1 juli 1782,"Maria Magdalena församling, Stockholm,",28 juni 1812,Göteborgs domkyrkoförsamling,https://www.swedishmusicalheritage.com/composers/cloos-gustaf-adolf/,false,
Gustaf Collin,24 februari 1772,Storkyrkoförsamlingen (Stockholm),30 januari 1826,samma församling,https://www.swedishmusicalheritage.com/composers/collin-gustaf/,false,
Leo Correia De Verdier,,,,,https://www.swedishmusicalheritage.com/composers/correia-de-verdier-leo/,false,
Johan Peter Cronhamn,7 May 1803,Östra Karup,15 June 1875,Stockholm,https://www.swedishmusicalheritage.com/composers/cronhamn-johan-peter/,false,
Bernhard Crusell,15 October 1775,"Uusikaupunki in Finland (then part of Sweden),",28 July 1838,Stockholm,https://www.swedishmusicalheritage.com/composers/crusell-bernhard/,true,Q708911
Joseph Czapek,19 March 1825,Prague,6 July 1915,"Ljungskile, Sweden",https://www.swedishmusicalheritage.com/composers/czapek-joseph/,false,
Jörgen Dafgård,,,,,https://www.swedishmusicalheritage.com/composers/dafgard-jorgen/,true,Q5701076
Adrian Dahl,5 March 1864,Stockholm,10 November 1935,"Stockholm, was a Swedish pianist, composer, piano pedagogue and music critic",https://www.swedishmusicalheritage.com/composers/dahl-adrian/,false,
Viking Dahl,8 October 1895,"Osby, Sweden",4 January 1945,Halmstad,https://www.swedishmusicalheritage.com/composers/dahl-viking/,false,
Hans-Erik Dahlgren,,,,,https://www.swedishmusicalheritage.com/composers/dahlgren-hans-erik/,true,Q46963641
Henrik Dahlgren,,,,,https://www.swedishmusicalheritage.com/composers/dahlgren-henrik/,false,
Palle Dahlstedt,,,,,https://www.swedishmusicalheritage.com/composers/dahlstedt-palle/,false,
Helge Damberg,12 oktober 1885,,30 juli 1961,Härlanda församling,https://www.swedishmusicalheritage.com/composers/damberg-helge/,false,
Sixten Damm,16 februari 1899,Särna,1 december 1977,"Ekerö församling, Stockholm,",https://www.swedishmusicalheritage.com/composers/damm-sixten/,true,Q5616385
Isidor Dannström,15 December 1812,d,17 October 1897,was an important singer and teacher who was also a composer,https://www.swedishmusicalheritage.com/composers/dannstrom-isidor/,false,
Eduard d’Aubert,24 October 1813,"Braunschweig, Germany",17 April 1873,Stockholm,https://www.swedishmusicalheritage.com/composers/daubert-eduard/,false,
Reinhold de Croll,"14 November, 1673",Stockholm in 1673 (the exact date remains unknown) and baptised,29 November 1710,the same city,https://www.swedishmusicalheritage.com/composers/de-croll-reinhold/,false,
