name,birth_date,birth_place,death_date,death_place,url
Christofer Elgh,,,,,https://www.swedishmusicalheritage.com/composers/elgh-christofer/
Anders Eliasson,,,,,https://www.swedishmusicalheritage.com/composers/eliasson-anders/
Ernst Ellberg,11 December 1868,Söderhamn,14 June 1948,Stockholm,https://www.swedishmusicalheritage.com/composers/ellberg-ernst/
Sune Mattias Emanuelsson,,,,,https://www.swedishmusicalheritage.com/composers/emanuelsson-sune-mattias/
Ulrika Emanuelsson,,,,,https://www.swedishmusicalheritage.com/composers/emanuelsson-ulrika/
Anders Emilsson,,,,,https://www.swedishmusicalheritage.com/composers/emilsson-anders/
Hinrich Christopher Engelhardt,5 April 1765,1694 in Karlskrona and died,5 April 1765,"Uppsala, was the cathedral organist in Uppsala and director musices at the university for 35 years",https://www.swedishmusicalheritage.com/composers/engelhardt-hinrich-christopher/
Richard Engländer,17 February 1889,Leipzig,16 March 1966,Uppsala,https://www.swedishmusicalheritage.com/composers/englander-richard/
Anders Englund,,,,,https://www.swedishmusicalheritage.com/composers/englund-anders/
Axel Englund,,,,,https://www.swedishmusicalheritage.com/composers/englund-axel/
Joel Engström,,,,,https://www.swedishmusicalheritage.com/composers/engstrom-joel/
Torbjörn Engström,,,,,https://www.swedishmusicalheritage.com/composers/engstrom-torbjorn/
Rolf Enström,,,,,https://www.swedishmusicalheritage.com/composers/enstrom-rolf/
Eva Erbenius,,,,,https://www.swedishmusicalheritage.com/composers/erbenius-eva/
Hans-Ola Ericsson,,,,,https://www.swedishmusicalheritage.com/composers/ericsson-hans-ola/
Åke Erikson,,,,,https://www.swedishmusicalheritage.com/composers/erikson-ake/
Anna Eriksson,,,,,https://www.swedishmusicalheritage.com/composers/eriksson-anna/
Björn Eriksson,,,,,https://www.swedishmusicalheritage.com/composers/eriksson-bjorn/
Joel Eriksson,,,,,https://www.swedishmusicalheritage.com/composers/eriksson-joel/
Josef Eriksson,8 December 1872,"Söderfors, Uppland",4 July 1957,Uppsala,https://www.swedishmusicalheritage.com/composers/eriksson-josef/
Nils Eriksson,3 september 1902,Norrköpings Matteus församling,12 mars 1978,samma församling,https://www.swedishmusicalheritage.com/composers/eriksson-nils/
Mats Erlandsson,,,,,https://www.swedishmusicalheritage.com/composers/erlandsson-mats/
Frans Ervall [Erwall],21 juni 1877,Hällaryd (Karlshamn) som Frans Oskar Ferdinand Persson,30 november 1949,"Skeppsholms församling, Stockholm,",https://www.swedishmusicalheritage.com/composers/ervall-frans/
Karl Michael von Esser,,,,,https://www.swedishmusicalheritage.com/composers/esser-karl-michael-von/
Prinsessan Eugénie,"24 April, 1830",,23 April 1889,Stockholm,https://www.swedishmusicalheritage.com/composers/eugenie-prinsessan/
Eberhard Eyser,,,,,https://www.swedishmusicalheritage.com/composers/eyser-eberhard/
Maria Frykholm,20 March 1832,Älvsbacka,,,https://www.swedishmusicalheritage.com/composers/f-maria/
Birger Abram [Abraham] Fagerlind,14 december 1767,Berga församling (Ljungby),21 april 1813,Jönköping Sofia församling,https://www.swedishmusicalheritage.com/composers/fagerlind-birger-abram/
Fredrik Fahlman,,,,,https://www.swedishmusicalheritage.com/composers/fahlman-fredrik/
Jenny Fahlstedt,27 August 1853,Stockholm,8 October 1906,Stockholm,https://www.swedishmusicalheritage.com/composers/fahlstedt-jenny/
Hans Hagerup Falbe,7 February 1772,,17 October 1830,Stockholm,https://www.swedishmusicalheritage.com/composers/falbe-hans-hagerup/
Carl Fredrik Fallén,22 september 1764,,26 augusti 1830,Södra Mellby,https://www.swedishmusicalheritage.com/composers/fallen-carl-fredrik/
Jamie Fawcus,,,,,https://www.swedishmusicalheritage.com/composers/fawcus-jamie/
Dror Feiler,,,,,https://www.swedishmusicalheritage.com/composers/feiler-dror/
Eric Ferling,20 December 1808,1733 and died in Turku,20 December 1808,Turku,https://www.swedishmusicalheritage.com/composers/ferling-erik/
Jan Ferm,,,,,https://www.swedishmusicalheritage.com/composers/ferm-jan/
John Fernström,6 December 1897,"Ichang, China,",19 October 1961,"Lund, Sweden",https://www.swedishmusicalheritage.com/composers/fernstrom-john/
Gustaf Ficker,26 oktober 1790,"Storkyrkoförsamlingen, Stockholm,",13 juli 1819,Linköpings domkyrkoförsamlinge,https://www.swedishmusicalheritage.com/composers/ficker-gustaf/
Daniel Fjellström,,,,,https://www.swedishmusicalheritage.com/composers/fjellstrom-daniel/
Marcus Fjellström,,,,,https://www.swedishmusicalheritage.com/composers/fjellstrom-marcus/
Gerda Fleetwood,5 april 1873,Tyska S:ta Gertruds församling (Stockholm),18 april 1927,S:ta Katarina församling 1927 (Stockholm),https://www.swedishmusicalheritage.com/composers/fleetwood-gerda/
Anders Flodin,,,,,https://www.swedishmusicalheritage.com/composers/flodin-anders/
Erika Förare,,,,,https://www.swedishmusicalheritage.com/composers/forare-erika/
Jacopo Foroni,25 July 1824,Valeggio sul Mincio,8 September 1858,Stockholm,https://www.swedishmusicalheritage.com/composers/foroni-jacopo/
Anders Gustaf Forssberg,,,,,https://www.swedishmusicalheritage.com/composers/forsberg-ag/
Marta Forsberg,,,,,https://www.swedishmusicalheritage.com/composers/forsberg-marta/
Roland Forsberg,,,,,https://www.swedishmusicalheritage.com/composers/forsberg-roland/
Arne Forsén,,,,,https://www.swedishmusicalheritage.com/composers/forsen-arne/
Anders Forslund,,,,,https://www.swedishmusicalheritage.com/composers/forslund-anders/
Kristina Forsman,,,,,https://www.swedishmusicalheritage.com/composers/forsman-kristina/
Mikael Forsman,,,,,https://www.swedishmusicalheritage.com/composers/forsman-mikael/
Jonas Forssell,,,,,https://www.swedishmusicalheritage.com/composers/forssell-jonas/
Stefan Forssén,,,,,https://www.swedishmusicalheritage.com/composers/forssen-stefan/
Lars-Åke Franke-Blom,,,,,https://www.swedishmusicalheritage.com/composers/franke-blom-lars-ake/
Cecilia Franke,,,,,https://www.swedishmusicalheritage.com/composers/franke-cecilia/
Frans Michael Franzén,9 februari 1772,Uleåborg,14 augusti 1847,Säbrå församling,https://www.swedishmusicalheritage.com/composers/franzen-franz-michael/
Olov Franzén,,,,,https://www.swedishmusicalheritage.com/composers/franzen-olov/
Ylva Fred,,,,,https://www.swedishmusicalheritage.com/composers/fred-ylva/
Lennart Fredriksson,,,,,https://www.swedishmusicalheritage.com/composers/fredriksson-lennart/
Otto Freudenthal,,,,,https://www.swedishmusicalheritage.com/composers/freudenthal-otto/
Pär Frid,,,,,https://www.swedishmusicalheritage.com/composers/frid-par/
Ruben Fridolfson,,,,,https://www.swedishmusicalheritage.com/composers/fridolfsson-ruben/
Frans Frieberg,13 December 1822,Appuna in the region of Östergötland,20 September 1913,Stockholm,https://www.swedishmusicalheritage.com/composers/frieberg-frans/
Pehr Frigel,2 September 1750,Kalmar,24 November 1842,Stockholm,https://www.swedishmusicalheritage.com/composers/frigel-pehr/
Carl Gustaf Frisch,17 oktober 1738,"Storkyrkoförsamlingen, Stockholm,",28 december 1793,Maria Magdalena församling (Stockholm),https://www.swedishmusicalheritage.com/composers/frisch-carl-gustaf/
Ferdinand Fröding,12 August 1826,Karlstad,9 February 1881,Kristinehamn,https://www.swedishmusicalheritage.com/composers/froding-ferdinand/
Per Fröding,26 March 1850,Gothenburg,10 January 1939,the same city,https://www.swedishmusicalheritage.com/composers/froding-per/
Robert Fröman,,,,,https://www.swedishmusicalheritage.com/composers/froman-robert/
Gunnar de Frumerie,20 juli 1908,Nacka församling,9 september 1987,Täby församling,https://www.swedishmusicalheritage.com/composers/frumerie-gunnar-de/
Harald Fryklöf,,,11 March 1918,Stockholm,https://www.swedishmusicalheritage.com/composers/fryklof-harald/
Zoltán Gaál,,,,,https://www.swedishmusicalheritage.com/composers/gaal-zoltan/
Carl Sigismund Gelhaar,,,11 mars 1814,Tyska S:ta Gertruds församling (Stockholm),https://www.swedishmusicalheritage.com/composers/galhaar-/
Göran Gamstorp,,,,,https://www.swedishmusicalheritage.com/composers/gamstorp-goran/
Johanna Eleonora de la Gardie,26 juni 1661,Hamburg (Tyskland),27 december 1708,Stockholm,https://www.swedishmusicalheritage.com/composers/gardie-je-de-la/
Hans Gefors,,,,,https://www.swedishmusicalheritage.com/composers/gefors-hans/
Erik Gustaf Geijer,12 January 1783,Ransäters Bruk,23 April 1847,Stockholm,https://www.swedishmusicalheritage.com/composers/geijer-erik-gustaf/
Gösta Geijer,20 August 1857,"Hjälleskate estate, Värmlandsnäs",26 March 1914,Säffle,https://www.swedishmusicalheritage.com/composers/geijer-gosta/
Christian Geist,,,,,https://www.swedishmusicalheritage.com/composers/geist-christian/
Per Eberhard Georgii,20 augusti 1759,Uppsala domkyrkoförsamling,2 december 1808,Klara församling (Stockholm),https://www.swedishmusicalheritage.com/composers/georgii-per-eberhard/
Georg Fredric Gernandt,16 januari 1799,Nosaby (Kristianstad),30 januari 1844,Dalby,https://www.swedishmusicalheritage.com/composers/gernandt-gf/
Johan (Johannes) Gernandt,22 april 1769,Vittskövle församling (Kristianstad),25 december 1850,Lunds domkyrkoförsamling,https://www.swedishmusicalheritage.com/composers/gernandt-johan/
Jacob Edvard Gille,10 August 1814,,8 November 1880,,https://www.swedishmusicalheritage.com/composers/gille-jacob-edvard/
Werner Wolf Glaser,,,,,https://www.swedishmusicalheritage.com/composers/glaser-werner-wolf/
Carl Erik Gleisman,1 juni 1765,,9 december 1804,Riddarholmens församling (Stockholm),https://www.swedishmusicalheritage.com/composers/gleisman-carl-erik/
Wilhelm Gnosspelius,28 December 1809,Stockholm,13 August 1887,Lund,https://www.swedishmusicalheritage.com/composers/gnosspelius-wilhelm/
Mauro Godoy-Villalobos,,,,,https://www.swedishmusicalheritage.com/composers/godoy-villalobos-mauro/
Carl Gustaf Goës,5 december 1763,Öja församling (Eskilstuna),15 december 1793,Öja församling (Eskilstuna),https://www.swedishmusicalheritage.com/composers/gos-carl-gustaf/
Oleg Gotskosik,,,,,https://www.swedishmusicalheritage.com/composers/gotskosik-oleg/
Carl Gottfried Grahl,,,17 November 1884,Nyköping,https://www.swedishmusicalheritage.com/composers/grahl-carl-gottfried/
Ulf Grahn,,,,,https://www.swedishmusicalheritage.com/composers/grahn-ulf/
Fredrik Gran,,,,,https://www.swedishmusicalheritage.com/composers/gran-fredrik/
Magnus Granberg,,,,,https://www.swedishmusicalheritage.com/composers/granberg-magnus/
Johnny Grandert,,,,,https://www.swedishmusicalheritage.com/composers/grandert-johnny/
Rosali Grankull,,,,,https://www.swedishmusicalheritage.com/composers/grankull-rosali/
David Granström,,,,,https://www.swedishmusicalheritage.com/composers/granstrom-david/
Johan Fredrik Grenser,,,17 March 1795,"Stockholm, where he was a composer, arranger, member of the Royal Court Orchestra (as oboist and later flautist) and soloist",https://www.swedishmusicalheritage.com/composers/grenser-johan-fredrik/
Carl August(us) Grevesmöhlen,,,,,https://www.swedishmusicalheritage.com/composers/grevesmohlen-carl-august/
Adolf Ulrik Grill,10 mars 1752,"Stockholm (oklart vilket datum), döptes",,,https://www.swedishmusicalheritage.com/composers/grill-adolf-ulrik/
Ebbe Grims-land,,,,,https://www.swedishmusicalheritage.com/composers/grims-land-ebbe/
Ragnar Grippe,,,,,https://www.swedishmusicalheritage.com/composers/grippe-ragnar/
Abraham Julius Grundén,23 April 1779,Gävle,18 July 1834,Stockholm,https://www.swedishmusicalheritage.com/composers/grunden-abraham-julius/
Per Grundström,18 juli 1886,"Svea Livgardes församling, Stockholm,",24 april 1975,Oscars församling (Stockholm),https://www.swedishmusicalheritage.com/composers/grundstrom-per/
Wlodek Gulgowski,,,,,https://www.swedishmusicalheritage.com/composers/gulgowski-wlodek/
Olof Gullberg,,,,,https://www.swedishmusicalheritage.com/composers/gullberg-olof/
Gabriella Gullin,,,,,https://www.swedishmusicalheritage.com/composers/gullin-gabriella/
Gustaf Gullman,9 november 1897,,18 februari 1981,Skerike församling (Västerås),https://www.swedishmusicalheritage.com/composers/gullman-gustaf/
Gunnar Jeanson,10 October 1898,Gothenburg,20 January 1939,Stockholm,https://www.swedishmusicalheritage.com/composers/gunnar-jaenson/
Rosanna Gunnarsson,,,,,https://www.swedishmusicalheritage.com/composers/gunnarsson-rosanna/
Georg Valentin Günther,,,,,https://www.swedishmusicalheritage.com/composers/gunther-georg-valentin/
Hans Gurstad-Nilsson,,,,,https://www.swedishmusicalheritage.com/composers/gurstad-nilsson-hans/
Konung Gustaf III,13 januari 1746,,29 mars 1792,,https://www.swedishmusicalheritage.com/composers/gustaf-iii-konung/
Prins Gustaf,18 June 1827,Stockholm,24 September 1852,Kristiana (Oslo),https://www.swedishmusicalheritage.com/composers/gustaf-prins/
Ille Gustafsson,17 augusti 1898,,3 juli 1981,Helsingborgs Maria församling,https://www.swedishmusicalheritage.com/composers/gustafsson-ille/
Mats Gustafsson,,,,,https://www.swedishmusicalheritage.com/composers/gustafsson-mats/
Mathilda Gyllenhaal [d'Orozco],14 June 1794,"Vienna,",19 October 1863,,https://www.swedishmusicalheritage.com/composers/gyllenhaal-mathilda/
Patrik Gyllenhammar,11 March 1871,"Leksand, Dalarna,",23 December 1904,Stockholm,https://www.swedishmusicalheritage.com/composers/gyllenhammar-patrik/
Tuomo Haapala,,,,,https://www.swedishmusicalheritage.com/composers/haapala-tuomo/
Johann Christian Friedrich Hæffner [Haeffner],2 March 1759,"the German village of Oberschönau in Thüringen,",28 May 1833,Uppsala,https://www.swedishmusicalheritage.com/composers/haeffner-johann-christian-friedrich/
Gustaf Hägg,28 November 1867,Visby,7 February 1925,Stockholm,https://www.swedishmusicalheritage.com/composers/hagg-gustaf/
Jakob Adolf Hägg,,,1 March 1928,Hudiksvall,https://www.swedishmusicalheritage.com/composers/hagg-jacob-adolf/
Tommie Haglund,,,,,https://www.swedishmusicalheritage.com/composers/haglund-tommie/
Fredrik Hagstedt,,,,,https://www.swedishmusicalheritage.com/composers/hagstedt-fredrik/
Nils Magnus Hagström,26 juli 1804,,22 juni 1863,Vittinge församling (Heby),https://www.swedishmusicalheritage.com/composers/hagstrom-nm/
Sven Hagvil,,,,,https://www.swedishmusicalheritage.com/composers/hagvil-sven/
Knut Håkanson,4 November 1887,Kinna,13 December 1929,Gothenburg,https://www.swedishmusicalheritage.com/composers/hakanson-knut/
Carl Axel Hall,,,,,https://www.swedishmusicalheritage.com/composers/hall-carl-axel/
Jörgen Häll,,,,,https://www.swedishmusicalheritage.com/composers/hall-jorgen/
Louis Hall,,,,,https://www.swedishmusicalheritage.com/composers/hall-louis/
Bengt Wilhelm Hallberg,13 May 1824,,4 May 1883,,https://www.swedishmusicalheritage.com/composers/hallberg-bengt-wilhelm/
Bengt Hallberg,,,,,https://www.swedishmusicalheritage.com/composers/hallberg-bengt/
Björn Wilho Hallberg,,,,,https://www.swedishmusicalheritage.com/composers/hallberg-bjorn-wilho/
Hanna Hallberg-Norlind,14 July 1858,"Landskrona, Sweden,",24 January 1929,Lund,https://www.swedishmusicalheritage.com/composers/hallberg-nordlind-hanna/
Andreas Hallén,22 December 1846,Gothenburg,11 March 1925,"Stockholm, was a composer, conductor, music critic and music teacher",https://www.swedishmusicalheritage.com/composers/hallen-andreas/
Margareta Hallin,,,,,https://www.swedishmusicalheritage.com/composers/hallin-margareta/
Björn Hallman,,,,,https://www.swedishmusicalheritage.com/composers/hallman-bjorn/
Hilding Hallnäs,24 maj 1903,Halmstad,11 september 1984,Stockholm,https://www.swedishmusicalheritage.com/composers/hallnas-hilding/
Lars David Hallnäs,,,,,https://www.swedishmusicalheritage.com/composers/hallnas-lars-david/
Mattias Hållsten,,,,,https://www.swedishmusicalheritage.com/composers/hallsten-mattias/
Ivar Hallström,5 June 1826,Stockholm,11 April 1901,Stockholm,https://www.swedishmusicalheritage.com/composers/hallstrom-ivar/
Axel Hambraeus,1 januari 1890,Nora Örebro län död 22 februari 1983 i Orsa Kopparbergs län,22 februari 1983,Orsa Kopparbergs län,https://www.swedishmusicalheritage.com/composers/hambraeus-axel/
Bengt Hambraeus,,,,,https://www.swedishmusicalheritage.com/composers/hambraeus-bengt/
Johan Hammerth,,,,,https://www.swedishmusicalheritage.com/composers/hammerth-johan/
Krister Hansén,,,,,https://www.swedishmusicalheritage.com/composers/hansen-krister/
Peter Hansen,,,,,https://www.swedishmusicalheritage.com/composers/hansen-peter/
Charles F. Hanson,9 september 1849,Uddevalla,10 februari 1921,Worcester (USA),https://www.swedishmusicalheritage.com/composers/hanson-charles-f/
Sten Hanson,,,,,https://www.swedishmusicalheritage.com/composers/hanson-sten/
Bo Hansson,,,,,https://www.swedishmusicalheritage.com/composers/hansson-bo/
Lars Indrek Hansson,,,,,https://www.swedishmusicalheritage.com/composers/hansson-lars-indrek/
Mats O Hansson,,,,,https://www.swedishmusicalheritage.com/composers/hansson-mats-o/
Algot Haquinius,30 juli 1886,Sveg,6 februari 1966,Stockholm,https://www.swedishmusicalheritage.com/composers/haquinius-algot/
Wilhelm Harteveld,1 October 1927,Stockholm on 5 April 5 1859 and died there,1 October 1927,Stockholm on 5 April 5 1859 and died there,https://www.swedishmusicalheritage.com/composers/harteveld-wilhelm/
Hanna Hartman,,,,,https://www.swedishmusicalheritage.com/composers/hartman-hanna/
Carl Michael von Hausswolff,,,,,https://www.swedishmusicalheritage.com/composers/hausswolff-carl-michael-von/
Josef Hedar,16 oktober 1894,"S:t Petri församling, Malmö",2 december 1960,Lunds domkyrkoförsamling,https://www.swedishmusicalheritage.com/composers/hedar-josef/
Kim Hedås,,,,,https://www.swedishmusicalheritage.com/composers/hedas-kim/
Fredrik Hedelin,,,,,https://www.swedishmusicalheritage.com/composers/hedelin-fredrik/
Ivar Hedenblad,27 July 1851,Torsång in Dalarna,16 June 1909,Ronneby,https://www.swedishmusicalheritage.com/composers/hedenblad-ivar/
Jens Hedman,,,,,https://www.swedishmusicalheritage.com/composers/hedman-jens/
Helene Hedsund,,,,,https://www.swedishmusicalheritage.com/composers/hedsund-helene/
Lennart Hedwall,,,,,https://www.swedishmusicalheritage.com/composers/hedwall-lennart/
Ellen Heijkorn,12 May 1869,Järna,6 December 1950,Stockholm,https://www.swedishmusicalheritage.com/composers/heijkorn-ellen/
Gustaf Heintze d.y.,22 July 1879,Jönköping,4 March 1946,"Saltsjöbaden (Stockholm), was a composer, pianist, organist and music teacher",https://www.swedishmusicalheritage.com/composers/heintze-gustaf-hjalmar/
Gustaf (d.ä.) Heintze,1 July 1825,,19 March 1909,"Jönköping, was an organist, pianist and composer",https://www.swedishmusicalheritage.com/composers/heintze-gustaf/
John Heintze,6 August 1886,Stockholm,,,https://www.swedishmusicalheritage.com/composers/heintze-john-wilhelm/
Wilhelm Heintze,4 July 1849,,10 January 1895,,https://www.swedishmusicalheritage.com/composers/heintze-wilhelm/
Olov Helge,,,,,https://www.swedishmusicalheritage.com/composers/helge-olov/
Daniel Helldén,,,,,https://www.swedishmusicalheritage.com/composers/hellden-daniel/
Ann Helling,,,,,https://www.swedishmusicalheritage.com/composers/helling-ann/
Ivar Hellman,20 januari 1891,Norrköpings S:t Olai [numera S:t Olofs] församling,19 februari 1994,"Kungsholms församling, Stockholm,",https://www.swedishmusicalheritage.com/composers/hellman-ivar/
Pehr Fredric Hellström,9 december 1802,"S:t Johannes församling, Norrköping,",24 maj 1847,S:t Olai församling (Norrköping),https://www.swedishmusicalheritage.com/composers/hellstrom-pehr-fr/
Sten-Olof Hellström,,,,,https://www.swedishmusicalheritage.com/composers/hellstrom-sten-olof/
Eskil Hemberg,,,,,https://www.swedishmusicalheritage.com/composers/hemberg-eskil/
Albert Henneberg,27 mars 1901,Stockholm,14 april 1991,Stockholm,https://www.swedishmusicalheritage.com/composers/henneberg-albert/
Richard Henneberg,5 August 1853,Berlin,19 October 1925,Malmö,https://www.swedishmusicalheritage.com/composers/henneberg-richard/
Svante Henryson,,,,,https://www.swedishmusicalheritage.com/composers/henryson-svante/
Åke Hermanson,,,,,https://www.swedishmusicalheritage.com/composers/hermanson-ake/
Christer Hermanson,,,,,https://www.swedishmusicalheritage.com/composers/hermanson-christer/
Katt Hernandez,,,,,https://www.swedishmusicalheritage.com/composers/hernandez-katt/
Frithiof Hertzman,12 December 1837,Västra Ny near Motala in the region of Östergötland,,,https://www.swedishmusicalheritage.com/composers/hertzmann-frithiof/
Jenny Hettne,,,,,https://www.swedishmusicalheritage.com/composers/hettne-jenny/
Carl Johan Hierta (Hjerta),29 december 1801,Visnums församling (Kristinehamn),,,https://www.swedishmusicalheritage.com/composers/hierta-cj/
Johan(n) Hildebrand(t),5 juli 1684,"Pretzsch an der Elbe i Juni 1614, död i Eilenburg",5 juli 1684,Eilenburg,https://www.swedishmusicalheritage.com/composers/hildbrand-johan/
Wilhelm Hildebrand,3 September 1785,Rathenow near Brandenburg,8 January 1830,Stockholm,https://www.swedishmusicalheritage.com/composers/hildebrand-fredrik-wilhelm/
Hildebrand Hildebrandsson,,,11 juli 1858,Södertälje församling,https://www.swedishmusicalheritage.com/composers/hildebrandsson-hildebrand/
Anders Hillborg,,,,,https://www.swedishmusicalheritage.com/composers/hillborg-anders/
Anita von Hillern-Dunbar,16 april 1890,"Freiburg, Tyskland,",24 november 1977,Norrköping,https://www.swedishmusicalheritage.com/composers/hillern-dunbar-anita-von/
Johan (Johann) Michael Friedrich Hirschfeldt,11 november 1775,,27 januari 1841,Västerviks församling,https://www.swedishmusicalheritage.com/composers/hirschfeldt-johan-michael-friedrich/
Amalia Hjelm,30 January 1846,"Grycksbo, just outside of Falun,",7 October 1916,Stockholm,https://www.swedishmusicalheritage.com/composers/hjelm-amalia/
Peter Magnus Hjertstrand,30 november 1809,"Långaryds församling (Hylte, Halland)",13 september 1848,Landskrona stadsförsamling,https://www.swedishmusicalheritage.com/composers/hjertstrand-peter-magnus/
Daniel Hjorth,,,,,https://www.swedishmusicalheritage.com/composers/hjorth-daniel/
Erik Högberg,8 maj 1869,Stockholm,7 februari 1960,Stockholm,https://www.swedishmusicalheritage.com/composers/hogberg-erik/
Fredrik Högberg,,,,,https://www.swedishmusicalheritage.com/composers/hogberg-fredrik/
Hans Höglund,,,,,https://www.swedishmusicalheritage.com/composers/hoglund-hans/
Leonard Höijer,1 February 1815,Stockholm,11 July 1884,"Helgest, Södermanland",https://www.swedishmusicalheritage.com/composers/hoijer-leonard/
Hans Holewa,,,,,https://www.swedishmusicalheritage.com/composers/holewa-hans/
Emilie Holmberg,6 May 1821,Stockholm,26 March 1854,"Columbia, South Carolina, USA",https://www.swedishmusicalheritage.com/composers/holmberg-emilie/
Kay Holmquist,,,,,https://www.swedishmusicalheritage.com/composers/holmquist-kay/
Evald Holmqvist,25 March 1868,Helsingborg,26 February 1954,Helsingborg,https://www.swedishmusicalheritage.com/composers/holmqvist-evald/
Adolf Fredrik (Adolph Fredric) Holmström,3 maj 1796,"Bälinge församling, Uppland,",27 februari 1865,Uppsala,https://www.swedishmusicalheritage.com/composers/holmstrom-af/
Arvid Niclas von Höpken,7 July 1710,Stockholm,28 July 1778,Stralsund,https://www.swedishmusicalheritage.com/composers/hopken-arvid-niclas-von/
Mansoor Hosseini,,,,,https://www.swedishmusicalheritage.com/composers/hosseini-mansoor/
Johan Hugosson,,,,,https://www.swedishmusicalheritage.com/composers/hugosson-johan/
Tomas Hulenvik,,,,,https://www.swedishmusicalheritage.com/composers/hulenvik-tomas/
Malin Hülphers,,,,,https://www.swedishmusicalheritage.com/composers/hulphers-malin/
Sven Hultberg,,,,,https://www.swedishmusicalheritage.com/composers/hultberg-sven/
Otto Hultner,28 april 1872,"Svea Artilleriregementes församling, Stockholm,",,,https://www.swedishmusicalheritage.com/composers/hultner-otto/
Anders Hultqvist,,,,,https://www.swedishmusicalheritage.com/composers/hultqvist-anders/
Titus Hultstrand,,,,,https://www.swedishmusicalheritage.com/composers/hultstrand-titus/
Conrad Friedrich Hurlebusch,17 December 1765,"Brunswick, Northern Germany in 1691 (baptised 30 December) and died in Amsterdam",17 December 1765,Amsterdam,https://www.swedishmusicalheritage.com/composers/hurlebusch-conrad-friedrich/
Elisabeth Huselius-Wickter,5 January 1901,Trollhättan and deceased on 26 October 1965 in Malmö,,,https://www.swedishmusicalheritage.com/composers/huselius-wickter-elisabeth/
Oscar Hylén,15 februari 1846,,6 augusti 1885,Visby,https://www.swedishmusicalheritage.com/composers/hylen-oscar/
Sebastian Ingvarsson,,,,,https://www.swedishmusicalheritage.com/composers/ingvarsson-sebastian/
Madeleine Isaksson,,,,,https://www.swedishmusicalheritage.com/composers/isaksson-madeleine/
John Jacobsson,2 August 1835,Stockholm,4 June 1919,the same place,https://www.swedishmusicalheritage.com/composers/jacobsson-john/
Gösta Jahn,14 augusti 1895,"Guldsmedshyttan i Linde socken, Lindesbergs församling",6 januari 1980,Marbäcks församling (Ulricehamn),https://www.swedishmusicalheritage.com/composers/jahn-gosta/
Gunnar Jansson,,,,,https://www.swedishmusicalheritage.com/composers/jansson-gunnar/
Johannes Jansson,,,,,https://www.swedishmusicalheritage.com/composers/jansson-johannes/
Mårten Jansson,,,,,https://www.swedishmusicalheritage.com/composers/jansson-marten/
Patrik Jarlestam,,,,,https://www.swedishmusicalheritage.com/composers/jarlestam-patrik/
Armas Järnefelt,14 August 1869,Vyborg,23 June 1958,Stockholm,https://www.swedishmusicalheritage.com/composers/jarnefelt-armas/
Esaias Järnegard,,,,,https://www.swedishmusicalheritage.com/composers/jarnegard-esaias/
Lina Järnegard,,,,,https://www.swedishmusicalheritage.com/composers/jarnegard-lina/
Daniel Jeisler,8 December 1877,"Klockrike, Sweden,",6 May 1959,Paris,https://www.swedishmusicalheritage.com/composers/jeisler-daniel/
Thomas Jennefelt,,,,,https://www.swedishmusicalheritage.com/composers/jennefelt-thomas/
Kerstin Jeppsson,,,,,https://www.swedishmusicalheritage.com/composers/jeppsson-kerstin/
Johan Jeverud,,,,,https://www.swedishmusicalheritage.com/composers/jeverud-johan/
Alfred Jimenez,,,,,https://www.swedishmusicalheritage.com/composers/jimenez-alfred/
Weiwei Jin,,,,,https://www.swedishmusicalheritage.com/composers/jin-weiwei/
Sven-Eric Johanson,,,,,https://www.swedishmusicalheritage.com/composers/johanson-sven-eric/
Björn Tryggve Johansson,,,,,https://www.swedishmusicalheritage.com/composers/johansson-bjorn-tryggve/
Björn Johansson,,,,,https://www.swedishmusicalheritage.com/composers/johansson-bjorn/
Johannes Johansson,,,,,https://www.swedishmusicalheritage.com/composers/johansson-johannes/
Lei Feng Johansson,,,,,https://www.swedishmusicalheritage.com/composers/johansson-lei-feng/
Magnus Johansson,,,,,https://www.swedishmusicalheritage.com/composers/johansson-magnus/
Martin Johanson,11 maj 1892,,19 februari 1956,Gustav Vasa församling (Stockholm),https://www.swedishmusicalheritage.com/composers/johansson-martin/
Pär Johansson,,,,,https://www.swedishmusicalheritage.com/composers/johansson-par/
Sigrid Johansson,19 oktober 1874,Uppsala,1 december 1964,Uppsala,https://www.swedishmusicalheritage.com/composers/johansson-sigrid/
Hinrich Philip Johnsen,,,,,https://www.swedishmusicalheritage.com/composers/johnsen-henrik-philip/
Stefan Johnsson,,,,,https://www.swedishmusicalheritage.com/composers/johnsson-stefan/
Josef Jonsson,21 juni 1887,"Sankt Ilians församling, Enköping,",9 maj 1969,Norrköpings S:t Olai [nu S:t Olofs] församling,https://www.swedishmusicalheritage.com/composers/jonsson-josef/
Reine Jönsson,,,,,https://www.swedishmusicalheritage.com/composers/jonsson-reine/
Martin Jonsson Tibblin,,,,,https://www.swedishmusicalheritage.com/composers/jonsson-tibblin-martin/
Leif Jordansson,,,,,https://www.swedishmusicalheritage.com/composers/jordansson-leif/
Anders Jormin,,,,,https://www.swedishmusicalheritage.com/composers/jormin-anders/
Jacob Axel Josephson,27 March 1818,Stockholm,29 March 1880,Uppsala,https://www.swedishmusicalheritage.com/composers/josephson-jacob-axel/
