name,birth_date,birth_place,death_date,death_place,url
Henriette Nissen-Saloman,12 March 1819,Gothenburg,27 August 1879,the German town of Bad Harzurg,https://www.swedishmusicalheritage.com/composers/nissen-saloman-henriette/
Preben Nodermann,11 January 1867,"Hjørring, Denmark",14 November 1930,Lund,https://www.swedishmusicalheritage.com/composers/nodermann-preben/
Gustaf Eric Nordblad,9 augusti 1796,Hedvig Eleonora församling,17 november 1861,Maria Magdalena församling (Stockholm),https://www.swedishmusicalheritage.com/composers/nordblad-gustaf-eric/
Johan Erik Nordblom,13 April 1788,Uppsala,26 December 1848,Uppsala,https://www.swedishmusicalheritage.com/composers/nordblom-johan/
Erik Nordgren,,,,,https://www.swedishmusicalheritage.com/composers/nordgren-erik/
Jesper Nordin,,,,,https://www.swedishmusicalheritage.com/composers/nordin-jesper/
Conrad Nordqvist,11 april 1840,Vänersborg,16 april 1920,Snårestad,https://www.swedishmusicalheritage.com/composers/nordqvist-conrad/
Gustaf Nordqvist,12 February 1886,Stockholm,28 January 1949,the same city,https://www.swedishmusicalheritage.com/composers/nordqvist-gustaf/
Lorens Fredrik Nordstedt,8 januari 1770,"Hedvig Eleonora församling, Stockholm,",15 oktober 1828,Ingarö församling (Stockholm),https://www.swedishmusicalheritage.com/composers/nordstedt-lorens-fredrik/
Lise-Lotte Norelius,,,,,https://www.swedishmusicalheritage.com/composers/norelius-lise-lotte/
Carl Adam Norman,,,24 mars 1812,Hovförsamlingen,https://www.swedishmusicalheritage.com/composers/norman-carl-adam/
Ludvig Norman,28 August 1831,Stockholm,28 March 1885,Stockholm,https://www.swedishmusicalheritage.com/composers/norman-ludvig/
Dorcas Norre,,,,,https://www.swedishmusicalheritage.com/composers/norre-dorcas/
John Norrman,24 oktober 1895,Hallsberg,27 februari 1979,Eskilstuna,https://www.swedishmusicalheritage.com/composers/norrman-john/
Farangis Nurulla-Khoja,,,,,https://www.swedishmusicalheritage.com/composers/nurulla-khoja-farangis/
Ylva Nyberg Bentancor,,,,,https://www.swedishmusicalheritage.com/composers/nyberg-bentancor-ylva/
Lina Nyberg,,,,,https://www.swedishmusicalheritage.com/composers/nyberg-lina/
Kent Nyman,,,,,https://www.swedishmusicalheritage.com/composers/nyman-kent/
Noach Nystedt,6 april 1772,Klara församling (Stockholm),,,https://www.swedishmusicalheritage.com/composers/nystedt-noach/
Jacob Nyvall,23 July 1894,"Nybro, Madesjö parish",1 July 1961,Stockholm,https://www.swedishmusicalheritage.com/composers/nyvall-jacob/
Gerard Odencrants,,,23 juni 1967,"Engelbrekts församling, Stockholm,",https://www.swedishmusicalheritage.com/composers/odencrants-gerhard/
Richard Ohlsson,9 March 1874,Stockholm,28 July 1940,Stockholm,https://www.swedishmusicalheritage.com/composers/ohlsson-richard/
Anders Öhrman,,,31 oktober 1794,Hovförsamlingen (Stockholm),https://www.swedishmusicalheritage.com/composers/ohrman-anders/
Per August Ölander,8 January 1824,Linköping,3 August 1886,Stockholm,https://www.swedishmusicalheritage.com/composers/olander-per-august/
Jim O'Leary,,,,,https://www.swedishmusicalheritage.com/composers/oleary-jim/
Elisabeth Olin,8 December 1740,Stockholm,26 March 1828,Stockholm,https://www.swedishmusicalheritage.com/composers/olin-elisabeth/
Pelle Olofson,,,,,https://www.swedishmusicalheritage.com/composers/olofson-pelle/
Janne Olofsson,,,,,https://www.swedishmusicalheritage.com/composers/olofsson-janne/
Jonas Olofsson,,,,,https://www.swedishmusicalheritage.com/composers/olofsson-jonas/
Kent Olofsson,,,,,https://www.swedishmusicalheritage.com/composers/olofsson-kent/
Ludvig Olofsson,26 februari 1877,,19 juli 1930,,https://www.swedishmusicalheritage.com/composers/olofsson-ludvig/
Olov Olofsson,,,,,https://www.swedishmusicalheritage.com/composers/olofsson-olov/
Pär Olofsson,,,,,https://www.swedishmusicalheritage.com/composers/olofsson-par/
Daniel Olson,7 maj 1898,"S:t Olai församling, Norrköping,",4 november 1978,Linköpings domkyrkoförsamling,https://www.swedishmusicalheritage.com/composers/olson-daniel/
