name,years,has_description,composer_url
Jens Hedman,1962-,True,https://www.swedishmusicalheritage.com/composers/hedman-jens/
Helene Hedsund,1963-,True,https://www.swedishmusicalheritage.com/composers/hedsund-helene/
Lennart Hedwall,1932-,True,https://www.swedishmusicalheritage.com/composers/hedwall-lennart/
Olov Helge,1950-,True,https://www.swedishmusicalheritage.com/composers/helge-olov/
Daniel Helldén,1917-1998,True,https://www.swedishmusicalheritage.com/composers/hellden-daniel/
Ann Helling,1968-,True,https://www.swedishmusicalheritage.com/composers/helling-ann/
Sten-Olof Hellström,1956-,True,https://www.swedishmusicalheritage.com/composers/hellstrom-sten-olof/
Eskil Hemberg,1938-2004,True,https://www.swedishmusicalheritage.com/composers/hemberg-eskil/
Svante Henryson,1963-,True,https://www.swedishmusicalheritage.com/composers/henryson-svante/
Åke Hermanson,1923-1996,True,https://www.swedishmusicalheritage.com/composers/hermanson-ake/
Christer Hermanson,1943-,True,https://www.swedishmusicalheritage.com/composers/hermanson-christer/
Katt Hernandez,1974-,True,https://www.swedishmusicalheritage.com/composers/hernandez-katt/
Jenny Hettne,1977-,True,https://www.swedishmusicalheritage.com/composers/hettne-jenny/
Anders Hillborg,1954-,True,https://www.swedishmusicalheritage.com/composers/hillborg-anders/
Daniel Hjorth,1973-,True,https://www.swedishmusicalheritage.com/composers/hjorth-daniel/
Fredrik Högberg,1971-,True,https://www.swedishmusicalheritage.com/composers/hogberg-fredrik/
Hans Höglund,1987-,True,https://www.swedishmusicalheritage.com/composers/hoglund-hans/
Hans Holewa,1905-1991,True,https://www.swedishmusicalheritage.com/composers/holewa-hans/
Kay Holmquist,1960-,True,https://www.swedishmusicalheritage.com/composers/holmquist-kay/
Mansoor Hosseini,1967-,True,https://www.swedishmusicalheritage.com/composers/hosseini-mansoor/
Johan Hugosson,1973-,True,https://www.swedishmusicalheritage.com/composers/hugosson-johan/
Tomas Hulenvik,1981-,True,https://www.swedishmusicalheritage.com/composers/hulenvik-tomas/
Malin Hülphers,1964-,True,https://www.swedishmusicalheritage.com/composers/hulphers-malin/
Sven Hultberg,1912-1991,True,https://www.swedishmusicalheritage.com/composers/hultberg-sven/
Anders Hultqvist,1955-,True,https://www.swedishmusicalheritage.com/composers/hultqvist-anders/
Titus Hultstrand,1893-1963,True,https://www.swedishmusicalheritage.com/composers/hultstrand-titus/
Sebastian Ingvarsson,1989-,True,https://www.swedishmusicalheritage.com/composers/ingvarsson-sebastian/
Madeleine Isaksson,1956-,True,https://www.swedishmusicalheritage.com/composers/isaksson-madeleine/
Gunnar Jansson,1944-,True,https://www.swedishmusicalheritage.com/composers/jansson-gunnar/
Johannes Jansson,1950-,True,https://www.swedishmusicalheritage.com/composers/jansson-johannes/
Mårten Jansson,1965-,True,https://www.swedishmusicalheritage.com/composers/jansson-marten/
Patrik Jarlestam,1985-,True,https://www.swedishmusicalheritage.com/composers/jarlestam-patrik/
Esaias Järnegard,1983-,True,https://www.swedishmusicalheritage.com/composers/jarnegard-esaias/
Lina Järnegard,1979-,True,https://www.swedishmusicalheritage.com/composers/jarnegard-lina/
Thomas Jennefelt,1954-,True,https://www.swedishmusicalheritage.com/composers/jennefelt-thomas/
Kerstin Jeppsson,1948-,True,https://www.swedishmusicalheritage.com/composers/jeppsson-kerstin/
Johan Jeverud,1962-,True,https://www.swedishmusicalheritage.com/composers/jeverud-johan/
Alfred Jimenez,1988-,True,https://www.swedishmusicalheritage.com/composers/jimenez-alfred/
Weiwei Jin,1982-,True,https://www.swedishmusicalheritage.com/composers/jin-weiwei/
Sven-Eric Johanson,1919-1997,True,https://www.swedishmusicalheritage.com/composers/johanson-sven-eric/
Björn Tryggve Johansson,1959-,True,https://www.swedishmusicalheritage.com/composers/johansson-bjorn-tryggve/
Björn Johansson,1913-1983,True,https://www.swedishmusicalheritage.com/composers/johansson-bjorn/
Johannes Johansson,1951-2012,True,https://www.swedishmusicalheritage.com/composers/johansson-johannes/
Lei Feng Johansson,1971-,True,https://www.swedishmusicalheritage.com/composers/johansson-lei-feng/
Magnus Johansson,1975-,True,https://www.swedishmusicalheritage.com/composers/johansson-magnus/
Pär Johansson,1972-,True,https://www.swedishmusicalheritage.com/composers/johansson-par/
Hinrich Philip Johnsen,1717−1779,True,https://www.swedishmusicalheritage.com/composers/johnsen-henrik-philip/
Stefan Johnsson,1959-,True,https://www.swedishmusicalheritage.com/composers/johnsson-stefan/
Reine Jönsson,1960-,True,https://www.swedishmusicalheritage.com/composers/jonsson-reine/
Martin Jonsson Tibblin,1975-,True,https://www.swedishmusicalheritage.com/composers/jonsson-tibblin-martin/
Leif Jordansson,1960-,True,https://www.swedishmusicalheritage.com/composers/jordansson-leif/
