wikidata_id,name
Q1247683,Erwin Stein
Q1271100,Ethelbert Nevin
Q1373421,Eugène Anthiome
Q322673,Eugène Bigot
Q28541722,Eugène Diaz
Q4426800,Eugène Sauzay
Q51439467,Eugène-Philippe Bellenot
Q43070190,Evaristo García Torres
Q5416317,Evelyn Faltis
Q362411,Evencio Castellanos
Q55758134,Fabien Cali
Q5434007,Fanny Arthur Robinson
Q223744,Farinelli
Q1367549,Fartein Valen
Q20057350,Faustino Camisani
Q3740837,Fedele Fenaroli
Q2000816,Fedir Yakymenko
Q1171207,Felice Giardini
Q1403077,Felicitas Kukuck
Q569463,Felix Otto Dessoff
Q316920,Felix Weingartner
Q214454,Felix Wolfes
Q2035291,Feodor Koenemann
Q3068519,Ferdinand Barlow
Q62461,Ferdinand Leitner
Q1393982,Ferdinand Poise
Q1405923,Ferdinand Zellbell Jr.
Q3742601,Ferdinando Gasparo Turrini
Q3068736,Ferdinando Provesi
Q1406513,Fernand Lamy
Q19560341,Fernande Decruck
Q27868651,Fernande Peyrot
Q1150470,Fernando Germani
Q16169430,Ferran Ardèvol Miralles
Q1413930,Filippo Manfredi
Q509525,Filippo Marchetti
Q3745255,Filippo Maria Gherardeschi
Q5450655,Finn Mortensen
Q5460551,Florence Ashton Marshall
Q5460707,Florence Maude Ewart
Q2152778,Floriano Maria Arresti
Q8565166,Fouzieh Majd
Q2072834,Francesc Andreví
Q47005320,Francesc Antich Carbonell
Q3080852,Francesc Mariner
Q5479047,Francesc Morera i Cots
Q454613,Francesca Lebrun
Q15729292,Francesca Madriguera i Rodon
Q765195,Francesco Alborea
Q5479173,Francesco Antonio Calegari
Q3749608,Francesco Basili
Q934712,Francesco Bianchi
Q1440998,Francesco Corselli
Q16670015,Francesco Lanza
Q125065,Francesco Rognoni Taeggio
Q94802201,Francesco Salieri
Q4407460,Francesco Sangalli
Q1441433,Francis Casadesus
Q5481644,Francis Korbay
Q1872084,Francis Marie Louis Arnal de Serres
Q47165544,Francis William Davenport
Q3038202,Francisco Casanovas Tallardá
Q139453,Francisco Escudero
Q121863601,Francisco Galindo
Q1442068,Francisco Kröpfl
Q115280795,Francisco Ruiz Samaniego
Q1442250,Francisco Zumaque
Q128461246,Francisco de Humanes
Q57236942,Francisco de Peraza
Q325057,Franciszek Lessel
Q1371884,Franco Ferrara
Q4283267,Frank Marshall
Q1444369,Frank Van der Stucken
Q4087939,František Blažek
Q12017600,František Václav Habermann
Q464379,František Zdeněk Skuherský
Q569367,Franz Eckert
Q882123,Franz Ignaz von Beecke
Q61983572,Franz Joseph Otter
Q695347,Franz Krenn
Q823387,Franz Paul Grua
Q434601,Franz Schmidt
Q38225696,Franz Seraph Cramer
Q819749,Franz Wüllner
Q1449611,Franz Xaver Gebel
Q633817,François Bazin
Q1450915,François Benoist
Q14941902,François Couperin the elder
Q19945015,François Cupis
Q967442,François Dauverné
Q957041,François Habeneck
Q523581,François-Joseph Fétis
Q107387500,Fred Gurney
Q1375402,Fred Hersch
Q3087024,Freddy Balta
Q5497415,Frederick Bridge
Q707264,Frederick Jacobi
Q481438,Frederick Stock
Q5498811,Frederick Swann
Q327024,Fredrik Pacius
Q137297130,Friederike Proch Benesch
Q694191,Friedrich Kiel
Q458560,Friedrich Klose
Q828638,Friedrich Koch
Q440809,Friedrich Wieck
Q1463154,Friedrich Wilhelm Pixis
Q15839242,Frits Koeberg
Q1466553,Fritz Hart
Q364179,Fritz Reiner
Q70648,Fritz Steinbach
Q214915,Fritz Zweig
Q5506670,Frédéric Adam
Q1471456,Frédéric Blanc
Q95464819,Frédéric Ledroit
Q443012,Frédéric Nicolas Duvernoy
Q5511063,Fuzzy
Q11923381,Fèlix de Santos
Q1479449,Félix Cazot
Q1479496,Félix Le Couppey
Q25421497,Félix Pardon
Q4395043,Félix Rault
