name,wikidata_id,description,wikipedia_en
Erich Kleiber,Q78527,Austrian conductor (1890–1956),https://en.wikipedia.org/wiki/Erich_Kleiber
Erik Drake,Q5624380,Swedish writer and musicologist (1788-1870),
"Ernest Louis, Landgrave of Hesse-Darmstadt",Q504498,landgrave (1667-1739),"https://en.wikipedia.org/wiki/Ernest_Louis,_Landgrave_of_Hesse-Darmstadt"
Ernst Richter,Q64426,German musical theorist (1808–1879),https://en.wikipedia.org/wiki/Ernst_Richter
Eugène-Philippe Bellenot,Q51439467,(1860-1928),
Fabrizio II Gesualdo,Q107920966,1537 - 1593,
Farinelli,Q223744,Italian singer (1705-1782),https://en.wikipedia.org/wiki/Farinelli
Feodor Koenemann,Q2035291,Russian musician (1873-1937),https://en.wikipedia.org/wiki/Feodor_Koenemann
"Ferdinand III, Holy Roman Emperor",Q150575,Emperor of the Holy Roman Empire (1608-1657),"https://en.wikipedia.org/wiki/Ferdinand_III,_Holy_Roman_Emperor"
Fernande Peyrot,Q27868651,(1888-1978),
Fernando Germani,Q1150470,Italian musician (1906-1998),https://en.wikipedia.org/wiki/Fernando_Germani
Finn Mortensen,Q5450655,Norwegian musician,https://en.wikipedia.org/wiki/Finn_Mortensen
Floriano Maria Arresti,Q2152778,,
Francesc Antich Carbonell,Q47005320,,
Francesco Salieri,Q94802201,brother of Antonio Salieri,
Francis Korbay,Q5481644,Hungarian musician,https://en.wikipedia.org/wiki/Francis_Korbay
Francisco Casanovas Tallardá,Q3038202,Spanish musician (1899-1986),https://en.wikipedia.org/wiki/Francisco_Casanovas
Francisco Escudero,Q139453,Spanish musician (1912-2002),https://en.wikipedia.org/wiki/Francisco_Escudero_(composer)
Francisco Zumaque,Q1442250,Colombian musician,https://en.wikipedia.org/wiki/Francisco_Zumaqué
Frank Marshall,Q4283267,"Spanish pianist, componist and pedagogue (1883–1959)",https://en.wikipedia.org/wiki/Frank_Marshall_(pianist)
František Blažek,Q4087939,musician (1814–1900),
Franz Seraph Cramer,Q38225696,,
Franz Xaver Gruber,Q1449619,Austrian writer (1826–1871),
Franziska Pixis,Q18020256,German mezzo-soprano,https://en.wikipedia.org/wiki/Francilla_Pixis
François Benoist,Q1450915,French musician (1794–1878),https://en.wikipedia.org/wiki/François_Benoist
François Couperin the elder,Q14941902,"French harpsichordist, organist and viol player",
François Dauverné,Q967442,French musician (1799-1874),https://en.wikipedia.org/wiki/François_Dauverné
François Habeneck,Q957041,French violinist and conductor (1781-1849),https://en.wikipedia.org/wiki/François_Habeneck
Fred Hersch,Q1375402,American jazz pianist,https://en.wikipedia.org/wiki/Fred_Hersch
Frederick Swann,Q5498811,American musician,https://en.wikipedia.org/wiki/Frederick_Swann
Fridtjof Backer-Grøndahl,Q1793119,Norwegian musician (1885–1959),https://en.wikipedia.org/wiki/Fridtjof_Backer-Grøndahl
Friedelind Wagner,Q70091,German opera director (1918–1991),https://en.wikipedia.org/wiki/Friedelind_Wagner
Friedrich Benda,Q86711,German musician (1745-1814),https://en.wikipedia.org/wiki/Friedrich_Benda
Friedrich Wieck,Q440809,"German piano teacher, music critic and music educator (1785-1873)",https://en.wikipedia.org/wiki/Friedrich_Wieck
Friedrich Wilhelm Pixis,Q1463154,German violinist (1785-1842),https://en.wikipedia.org/wiki/Friedrich_Wilhelm_Pixis
Fritz Reiner,Q364179,Hungarian American orchestra conductor (1888–1963),https://en.wikipedia.org/wiki/Fritz_Reiner
Fritz Steinbach,Q70648,German conductor (1855–1916),https://en.wikipedia.org/wiki/Fritz_Steinbach
Fritz Zweig,Q214915,"conductor, pianist and musicologist (1893-1984)",https://en.wikipedia.org/wiki/Fritz_Zweig
Frédéric Blanc,Q1471456,French organist,https://en.wikipedia.org/wiki/Frédéric_Blanc
Frédéric Ledroit,Q95464819,French organist,
Félix Pardon,Q25421497,,
Félix Rault,Q4395043,,
Gabriela Montero,Q266894,,https://en.wikipedia.org/wiki/Gabriela_Montero
Gavin Higgins,Q102248055,,https://en.wikipedia.org/wiki/Gavin_Higgins
Geeta Sarabhai,Q16467670,Indian musician,https://en.wikipedia.org/wiki/Gita_Sarabhai
Georg Christoph Biller,Q316683,German conductor,https://en.wikipedia.org/wiki/Georg_Christoph_Biller
Georg Christoph Kellner,Q94876061,,
Georg Jacob Vollweiler,Q15450999,German musician and teacher,https://en.wikipedia.org/wiki/Georg_Jacob_Vollweiler
Georg Liebling,Q5535746,German musician,https://en.wikipedia.org/wiki/Georg_Liebling
Georg Schönberg,Q20644304,son of Arnold Schönberg,
Georg Solti,Q128085,Hungarian-British conductor (1912–1997),https://en.wikipedia.org/wiki/Georg_Solti
George Korngold,Q5541418,Austrian-American record producer (1928-1987),https://en.wikipedia.org/wiki/George_Korngold
George Linstead,Q5541753,British musician (1908-1974),https://en.wikipedia.org/wiki/George_Linstead
Giacomo Insanguine,Q927177,Italian musician (1728–1795),https://en.wikipedia.org/wiki/Giacomo_Insanguine
Giampaolo Bracali,Q105388404,,
Gina Bachauer,Q263697,Greek pianist,https://en.wikipedia.org/wiki/Gina_Bachauer
Giovanni Andrea Bontempi,Q875506,Italian singer and music historian,https://en.wikipedia.org/wiki/Giovanni_Andrea_Bontempi
Giovanni Antonio Riccieri,Q11924259,,
Giovanni Battista Mancini,Q1525889,"Italian soprano castrato, voice teacher and author of books on singing",https://en.wikipedia.org/wiki/Giovanni_Battista_Mancini
Giovanni Battista Tibaldi,Q1525931,,
Giovanni Battista Vivaldi,Q1525940,Italian violinist,
Giovanni Domenico Rognoni Taeggio,Q17520384,,
Giuseppe Luigini,Q20002617,,
Glukhovtsev Oleksiy Stepanovich,Q107565256,,
