article,name,birth,death,nationality,notable_21_century_works,era
Mark_Abel,Mark Abel,1948,,American,,21st-century classical
Thomas_Sandberg,Thomas Sandberg,1967,,Danish,,21st-century classical
Søren_Sebber_Larsen,Søren Sebber Larsen,1966,,Danish,,21st-century classical
Isaac_Schwartz,Isaac Schwartz,1923,2009,Ukrainian,,21st-century classical
Simon_Steen-Andersen,Simon Steen-Andersen,1976,,Danish,,21st-century classical
Vitalij_Kuprij,Vitalij Kuprij,1974,,Ukrainian-American,,21st-century classical
Martin_Lohse,Martin Lohse,1971,,Danish,,21st-century classical
Niels_Marthinsen,Niels Marthinsen,1963,,Danish,,21st-century classical
Michael_Sidney_Timpson,Michael Sidney Timpson,1970,,American,,21st-century classical
Dennis_Tobenski,Dennis Tobenski,1982,,American,,21st-century classical
Helen_Tobias-Duesberg,Helen Tobias-Duesberg,1919,2010,Estonian-American,,21st-century classical
James_Touchi-Peters,James Touchi-Peters,1965,,American,,21st-century classical
Timo_Andres,Timo Andres,1985,,American,,21st-century classical
Nicholas_Vasallo,Nicholas Vasallo,1979,,American,,21st-century classical
Robert_Van_Horne,Robert Van Horne,1948,,American,,21st-century classical
Michael_Tilson_Thomas,Michael Tilson Thomas,1944,,American,,21st-century classical
Robert_Aldridge_(composer),Robert Aldridge,1954,,American,Elmer Gantry (opera),21st-century classical
John_Thow,John Thow,1949,2007,American,,21st-century classical
Hanne_Rømer,Hanne Rømer,1949,,Danish,,21st-century classical
John_Howell_Morrison,John Howell Morrison,1956,,American,,21st-century classical
J._Durward_Morsch,J. Durward Morsch,1920,2015,American,,21st-century classical
Morten_Wedendahl,Morten Wedendahl,1961,,Danish,,21st-century classical
Lars_Oluf_Larsen,Lars Oluf Larsen,1961,,Danish,,21st-century classical
Ivan_Bootham,Ivan Bootham,1939,2016,New Zealander,,21st-century classical
Christian_Hildebrandt,Christian Hildebrandt,1967,,Danish,,21st-century classical
Anders_Koppel,Anders Koppel,1947,,Danish,,21st-century classical
Niels_Eje,Niels Eje,1954,,Danish,,21st-century classical
Bent_Hesselmann,Bent Hesselmann,1939,,Danish,,21st-century classical
Bo_Gunge,Bo Gunge,1964,,Danish,,21st-century classical
Ilja_Bergh,Ilja Bergh,1927,2015,Danish,,21st-century classical
Alida_Vázquez,Alida Vázquez,1931,,Mexican,,21st-century classical
,Carl Bergstrøm-Nielsen,1951,,Danish,,21st-century classical
Marcela_Rodríguez,Marcela Rodríguez,1951,,Mexican,,21st-century classical
Enrico_Chapela,Enrico Chapela,1974,,Mexican,,21st-century classical
Vangelis_Petsalis,Vangelis Petsalis,1965,,Greek,,21st-century classical
Alexandros_Mouzas,Alexandros Mouzas,1962,,Greek,,21st-century classical
Michalis_Travlos,Michalis Travlos,1950,,Greek,,21st-century classical
Giorgos_Kyriakakis,Giorgos Kyriakakis,1967,,Greek,,21st-century classical
Diego_Luzuriaga,Diego Luzuriaga,1955,,Ecuadorian,,21st-century classical
Gerardo_Guevara,Gerardo Guevara,1930,,Ecuadorian,,21st-century classical
Gastón_Arce_Sejas,Gastón Arce Sejas,1963,,Bolivian,,21st-century classical
Tapani_Puranen,Tapani Puranen,1957,,Finnish,,21st-century classical
John_Borstlap,John Borstlap,1950,,Dutch,,21st-century classical
Iraida_Yusupova,Iraida Yusupova,1962,,Turkmenistani,,21st-century classical
Jesús_Elías,Jesús Elías,1977,,Bolivian,,21st-century classical
Mark_Aanderud,Mark Aanderud,1976,,Mexican,,21st-century classical
Haraldur_Vignir_Sveinbjörnsson,Haraldur Vignir Sveinbjörnsson,1975,,Icelandic,,21st-century classical
Miguel_Roig-Francolí,Miguel Roig-Francolí,1953,,Spanish/American,,21st-century classical
Zhanna_Vasil'yevna_Pliyeva,Zhanna Vasil'yevna Pliyeva,1949,,Russian,,21st-century classical
Elena_Langer,Elena Langer,1974,,Russian-born British,,21st-century classical
Victor_Kissine,Victor Kissine,1953,,Russian,,21st-century classical
Efim_Jourist,Efim Jourist,1947,2007,Ukrainian,,21st-century classical
Vitaliy_Hodziatsky,Vitaliy Hodziatsky,1936,,Ukrainian,,21st-century classical
Sergei_Cortez,Sergei Cortez,1935,2016,Belarusian,,21st-century classical
Yekaterina_Chemberdzhi,Yekaterina Chemberdzhi,1960,,Russian,,21st-century classical
Jesús_Rueda_(composer),Jesús Rueda,1961,,Spanish,,21st-century classical
Abdalla_El-Masri,Abdalla El-Masri,1962,,Lebanese Russian,,21st-century classical
Awatef_Abdel_Karim,Awatef Abdel Karim,1931,,Egyptian,,21st-century classical
Manuel_Lillo_Torregrosa,Manuel Lillo Torregrosa,1940,,Spanish,,21st-century classical
