article,name,birth,death,era
Giuseppe Gazzaniga,Giuseppe Gazzaniga,1743,1818,Classical-era
Franz Nikolaus Novotny,Franz Nikolaus Novotny,1743,1773,Classical-era
João Pedro de Almeida Mota,João Pedro de Almeida Mota,1744,1817,Classical-era
Josef Bárta,Josef Bárta,c. 1744,1787,Classical-era
Anne Louise Boyvin d'Hardancourt Brillon de Jouy,Anne Louise Brillon de Jouy,1744,1824,Classical-era
Gaetano Brunetti,Gaetano Brunetti,1744,1798,Classical-era
Marianna Martines,Marianna von Martines,1744,1812,Classical-era
Johann Michael Bach III,Johann Michael Bach III,1745,1820,Classical-era
Maksym Berezovsky,Maksym Berezovsky,c. 1745,1777,Classical-era
João de Sousa Carvalho,João de Sousa Carvalho,1745,c. 1799,Classical-era
Georg Druschetzky,Georg Druschetzky,1745,1819,Classical-era
Nicolas-Jean Lefroid de Méreaux,Nicolas-Jean Lefroid de Méreaux,1745,1797,Classical-era
Johann Peter Salomon,Johann Peter Salomon,1745,1815,Classical-era
Maddalena Laura Sirmen,Maddalena Laura Sirmen,1745,1818,Classical-era
Marie Emmanuelle Bayon Louis,Marie Emmanuelle Bayon Louis,1746,1825,Classical-era
William Billings,William Billings,1746,1800,Classical-era
Giuseppe Cambini,Giuseppe Cambini,1746,c. 1825,Classical-era
Ludwig Wenzel Lachnith,Ludwig Wenzel Lachnith,1746,1820,Classical-era
Johann Friedrich Peter,Johann Friedrich Peter,1746,1813,Classical-era
Joseph Quesnel,Joseph Quesnel,1746,1809,Classical-era
Ivan Khandoshkin,Ivan Khandoshkin,1747,1804,Classical-era
Justin Morgan,Justin Morgan,1747,1798,Classical-era
Carl Marianus Paradeiser,Carl Marianus Paradeiser,1747,1775,Classical-era
Johann Abraham Peter Schulz,Johann Abraham Peter Schulz,1747,1800,Classical-era
Francesco Azopardi,Francesco Azopardi,1748,1809,Classical-era
Josef Fiala,Josef Fiala,1748,1816,Classical-era
Étienne-Joseph Floquet,Étienne-Joseph Floquet,1748,1785,Classical-era
Emanuel Aloys Förster,Emanuel Aloys Förster,1748,1823,Classical-era
Christian Gottlob Neefe,Christian Gottlob Neefe,1748,1798,Classical-era
Theodor von Schacht,Theodor von Schacht,1748,1823,Classical-era
William Shield,William Shield,1748,1829,Classical-era
Henriette Adélaïde Villard Beaumesnil,Henriette Adélaïde Villard Beaumesnil,1748,1813,Classical-era
Jean-Louis Duport,Jean-Louis Duport,1749,1819,Classical-era
Jean-Frédéric Edelmann,Jean-Frédéric Edelmann,1749,1794,Classical-era
Johann Nikolaus Forkel,Johann Nikolaus Forkel,1749,1818,Classical-era
Antonín Kraft,Antonín Kraft,c. 1749,1820,Classical-era
Georg Joseph Vogler,Georg Joseph Vogler,1749,1814,Classical-era
Marija Zubova,Marija Zubova,1749,1799,Classical-era
Elizabeth Anspach,Elizabeth Anspach,1750,1828,Classical-era
Elizabeth Joanetta Catherine von Hagen,Elizabeth Joanetta Catherine von Hagen,1750,1809/1810,Classical-era
John Stafford Smith,John Stafford Smith,1750,1836,Classical-era
Johannes Matthias Sperger,Johannes Matthias Sperger,1750,1812,Classical-era
Johann Franz Xaver Sterkel,Johann Franz Xaver Sterkel,1750,1817,Classical-era
Jean Balthasar Tricklir,Jean Balthasar Tricklir,1750,1813,Classical-era
Dmytro Bortniansky,Dmytro Bortniansky,1751,1825,Classical-era
Bartolomeo Campagnoli,Bartolomeo Campagnoli,1751,1827,Classical-era
Jan Křtitel Kuchař,Jan Křtitel Kuchař,1751,1829,Classical-era
Maria Anna Mozart,Maria Anna Mozart,1751,1829,Classical-era
Mary Ann Pownall,Mary Ann Pownall,1751,1796,Classical-era
Corona Schröter,Corona Schröter,1751,1802,Classical-era
William Smethergell,William Smethergell,1751,1836,Classical-era
Mary Ann Wrighten,Mary Ann Wrighten,1751,1796,Classical-era
Justin Heinrich Knecht,Justin Heinrich Knecht,1752,1817,Classical-era
Ludwig August Lebrun,Ludwig August Lebrun,1752,1790,Classical-era
Josef Reicha,Josef Reicha,1752,1795,Classical-era
Johann Friedrich Reichardt,Johann Friedrich Reichardt,1752,1814,Classical-era
Jane Savage,Jane Savage,1752/3,1824,Classical-era
Niccolò Antonio Zingarelli,Niccolò Antonio Zingarelli,1752,1837,Classical-era
Jean-Baptiste Bréval,Jean-Baptiste Bréval,1753,1823,Classical-era
Nicolas Dalayrac,Nicolas Dalayrac,1753,1809,Classical-era
Franz Anton Dimmler,Franz Anton Dimmler,1753,1827,Classical-era
Johann Baptist Schenk,Johann Baptist Schenk,1753,1836,Classical-era
Pedro Étienne Solère,Pedro Étienne Solère,1753,1817,Classical-era
Johan Wikmanson,Johan Wikmanson,1753,1800,Classical-era
Vicente Martín y Soler,Vicente Martín y Soler,1754,1806,Classical-era
Etienne Ozi,Etienne Ozi,1754,1813,Classical-era
Anton Stamitz,Anton Stamitz,1754,1798 or 1809,Classical-era
Peter Winter,Peter Winter,1754,1825,Classical-era
Michèl Yost,Michèl Yost,1754,1786,Classical-era
Maria Theresia Ahlefeldt,Maria Theresia Ahlefeldt,1755,1810,Classical-era
